date,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
1970-01-01 00:00:00.000000071,2007-06-30,USD,10063000000,27024000000,16961000000,16961000000,4816000000,1761000000,None,5247000000,None,None,None,469000000,None,None,None,None,4816000000,1617000000,None,None,None,4816000000,5285000000,3118000000
1970-01-01 00:00:00.000000072,2007-03-31,USD,9322000000,32774000000,23452000000,23452000000,4072000000,1641000000,None,5250000000,None,None,None,463000000,None,None,None,None,4072000000,1388000000,None,None,None,4072000000,4535000000,2595000000
1970-01-01 00:00:00.000000073,2006-12-31,USD,11700000000,26049000000,14349000000,14349000000,5262000000,1554000000,None,6438000000,None,None,None,453000000,None,None,None,10374000000,5262000000,1604000000,None,None,None,-4734000000,5715000000,3583000000
1970-01-01 00:00:00.000000074,2006-09-30,USD,9329000000,25371000000,16042000000,16042000000,4301000000,1560000000,None,5028000000,None,None,None,463000000,None,None,None,None,4301000000,1451000000,None,None,None,4301000000,4764000000,2772000000
1970-01-01 00:00:00.000000075,2006-06-30,USD,8197000000,23893000000,15696000000,15696000000,3602000000,1440000000,None,4595000000,None,None,None,446000000,None,None,None,None,3602000000,1208000000,None,None,None,3602000000,4048000000,2347000000
1970-01-01 00:00:00.000000076,2006-03-31,USD,6162000000,21156000000,14994000000,14994000000,3613000000,1378000000,None,2549000000,None,None,None,362000000,None,None,None,None,3613000000,1242000000,None,None,None,3613000000,3975000000,2313000000
1970-01-01 00:00:00.000000077,2005-12-31,USD,12132000000,25991000000,13859000000,13859000000,7688000000,1506000000,None,4444000000,None,None,None,169000000,None,None,None,None,7829000000,2636000000,None,None,None,7688000000,7998000000,5130000000
1970-01-01 00:00:00.000000078,2005-09-30,USD,1555000000,19104000000,17549000000,17549000000,694000000,1289000000,None,861000000,None,None,None,193000000,None,None,None,None,835000000,232000000,None,None,None,2526000000,1028000000,586000000
1970-01-01 00:00:00.000000079,2005-06-30,USD,4732000000,18629000000,13897000000,13897000000,2054000000,1242000000,None,2678000000,None,None,None,195000000,None,None,None,None,2154000000,691000000,None,None,None,222000000,2349000000,1449000000
1970-01-01 00:00:00.000000080,2005-03-31,USD,4497000000,18170000000,13673000000,13673000000,1832000000,1291000000,None,2665000000,None,None,None,166000000,None,None,None,None,1973000000,600000000,None,None,None,1832000000,2139000000,1363000000
