,fiscalDateEnding,ticker,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,nonOperatingItems,netInterest
177,2008-12-31,BRK-B,148000000,-6141000000,148000000,-167000000,117000000,-480000000.0,-480000000.0
178,2009-03-31,BRK-B,-2543000000,-2055000000,-2543000000,-1014000000,-1534000000,-488000000.0,-488000000.0
179,2009-06-30,BRK-B,4791000000,5301000000,4791000000,1520000000,3295000000,-510000000.0,-510000000.0
180,2009-09-30,BRK-B,4839000000,5333000000,4839000000,1601000000,3238000000,-494000000.0,-494000000.0
181,2009-12-31,BRK-B,4465000000,4965000000,4465000000,1431000000,3056000000,-500000000.0,-500000000.0
182,2010-03-31,BRK-B,5098000000,5691000000,5098000000,1336000000,3633000000,-593000000.0,-593000000.0
183,2010-06-30,BRK-B,2938000000,3575000000,2938000000,848000000,1968000000,-637000000.0,-637000000.0
184,2010-09-30,BRK-B,4534000000,5202000000,4534000000,1415000000,2989000000,-668000000.0,-668000000.0
185,2010-12-31,BRK-B,6481000000,7141000000,6481000000,2008000000,4377000000,-660000000.0,-660000000.0
186,2011-03-31,BRK-B,2234000000,2892000000,2234000000,629000000,1511000000,-658000000.0,-658000000.0
187,2011-06-30,BRK-B,5265000000,5927000000,5265000000,1725000000,3417000000,-662000000.0,-662000000.0
188,2011-09-30,BRK-B,3363000000,4032000000,3363000000,953000000,2278000000,-669000000.0,-669000000.0
189,2011-12-31,BRK-B,4452000000,5127000000,4452000000,1261000000,3048000000,-675000000.0,-675000000.0
190,2012-03-31,BRK-B,4931000000,5622000000,4931000000,1565000000,3245000000,-691000000.0,-691000000.0
191,2012-06-30,BRK-B,4615000000,5311000000,4615000000,1384000000,3108000000,-696000000.0,-696000000.0
192,2012-09-30,BRK-B,5936000000,6628000000,5936000000,1882000000,3920000000,-692000000.0,-692000000.0
193,2012-12-31,BRK-B,6754000000,7309000000,6754000000,2093000000,4551000000,-665000000.0,-665000000.0
194,2013-03-31,BRK-B,7295000000,7856000000,7295000000,2278000000,4892000000,-686000000.0,-686000000.0
195,2013-06-30,BRK-B,6891000000,7511000000,6891000000,2279000000,4541000000,-691000000.0,-691000000.0
196,2013-09-30,BRK-B,7378000000,7984000000,7378000000,2225000000,5053000000,-706000000.0,-706000000.0
197,2013-12-31,BRK-B,7232000000,7877000000,7232000000,2169000000,4990000000,-718000000.0,-718000000.0
198,2014-03-31,BRK-B,6598000000,7312000000,6598000000,1825000000,4705000000,-782000000.0,-782000000.0
199,2014-06-30,BRK-B,8916000000,9677000000,8916000000,2458000000,6395000000,-824000000.0,-824000000.0
200,2014-09-30,BRK-B,6750000000,7463000000,6750000000,2029000000,4617000000,-817000000.0,-817000000.0
201,2014-12-31,BRK-B,5841000000,6608000000,5841000000,1623000000,4155000000,-830000000.0,-830000000.0
202,2015-03-31,BRK-B,7647000000,8453000000,7647000000,2414000000,5164000000,-875000000.0,-875000000.0
203,2015-06-30,BRK-B,5846000000,6719000000,5846000000,1739000000,4013000000,-967000000.0,-967000000.0
204,2015-09-30,BRK-B,14072000000,14838000000,14072000000,4545000000,9428000000,-865000000.0,-865000000.0
205,2015-12-31,BRK-B,7381000000,8120000000,7381000000,1834000000,5478000000,-808000000.0,-808000000.0
206,2016-03-31,BRK-B,6456000000,7561000000,6456000000,799000000,5589000000,-1173000000.0,-1173000000.0
207,2016-06-30,BRK-B,7372000000,8018000000,7372000000,2290000000,5001000000,-727000000.0,-727000000.0
208,2016-09-30,BRK-B,10525000000,11433000000,10525000000,3192000000,7198000000,-1043000000.0,-1043000000.0
209,2016-12-31,BRK-B,9314000000,9799000000,9314000000,2959000000,6286000000,-554000000.0,-554000000.0
210,2017-03-31,BRK-B,5688000000,6676000000,5688000000,1549000000,4060000000,-828000000.0,-1067000000.0
211,2017-06-30,BRK-B,6129000000,7536000000,6129000000,1774000000,4262000000,-1191000000.0,-1500000000.0
212,2017-09-30,BRK-B,5630000000,6727000000,5630000000,1427000000,4067000000,-981000000.0,-1233000000.0
213,2017-12-31,BRK-B,6391000000,7880000000,6391000000,-26265000000,32551000000,-1594000000.0,-1594000000.0
214,2018-03-31,BRK-B,-1523000000,-398000000,-1523000000,-452000000,-1138000000,-8806000000.0,-1192000000.0
215,2018-06-30,BRK-B,15098000000,15553000000,15098000000,3021000000,12011000000,6168000000.0,-521000000.0
216,2018-09-30,BRK-B,23147000000,23876000000,23147000000,4440000000,18540000000,14126000000.0,-896000000.0
217,2018-12-31,BRK-B,-10266000000,-31478000000,-32721000000,-7330000000,-25392000000,-39963000000.0,-1244000000.0
218,2019-03-31,BRK-B,27647000000,28567000000,27647000000,5915000000,21661000000,21616000000.0,-991000000.0
219,2019-06-30,BRK-B,17759000000,18651000000,17759000000,3586000000,14073000000,11475000000.0,-992000000.0
220,2019-09-30,BRK-B,20489000000,21341000000,20489000000,3832000000,16524000000,13068000000.0,-985000000.0
221,2019-12-31,BRK-B,-35806000000,37723000000,36801000000,7571000000,29159000000,32903000000.0,-993000000.0
222,2020-03-31,BRK-B,7226000000,-62074000000,-63049000000,-13352000000,-49746000000,1552000000.0,-1024000000.0
223,2020-06-30,BRK-B,35409000000,36299000000,35409000000,9002000000,26295000000,891000000.0,-1002000000.0
224,2020-09-30,BRK-B,37930000000,38654000000,37930000000,7517000000,30137000000,717000000.0,-1000000000.0
225,2020-12-31,BRK-B,4657000000,46165000000,45403000000,9273000000,35835000000,892000000.0,-1057000000.0
226,2021-03-31,BRK-B,14528000000,15449000000,14528000000,2688000000,11711000000,6752000000.0,-1050000000.0
227,2021-06-30,BRK-B,35721000000,36466000000,35721000000,7296000000,28094000000,28363000000.0,-1076000000.0
228,2021-09-30,BRK-B,12484000000,13240000000,12484000000,1840000000,10344000000,9540000000.0,-1056000000.0
229,2021-12-31,BRK-B,-29589000000,49691000000,48953000000,9055000000,39646000000,41678000000.0,-990000000.0
230,2022-03-31,BRK-B,8790000000,7721000000,6812000000,1227000000,5460000000,-774000000.0,-1034000000.0
231,2022-06-30,BRK-B,11437000000,-54774000000,-55482000000,-12106000000,-43755000000,-64914000000.0,-1087000000.0
232,2022-09-30,BRK-B,9348000000,-3125000000,-4117000000,-1529000000,-2688000000,-1092000000.0,-1092000000.0
233,2022-12-31,BRK-B,90110000000,23193000000,22211000000,3890000000,18164000000,14139000000.0,-1139000000.0
234,2023-03-31,BRK-B,44752000000,45717000000,44752000000,8995000000,35504000000,69674000000.0,-1218000000.0
235,2023-06-30,BRK-B,45435000000,-21458000000,45435000000,9236000000,35912000000,2597000000.0,-1249000000.0
236,2023-09-30,BRK-B,12557000000,9347000000,-16959000000,-4392000000,-12767000000,28256000000.0,-1260000000.0
237,2023-12-31,BRK-B,46426000000,48214000000,46938000000,9180000000,37574000000,3163000000.0,-1276000000.0
238,2024-03-31,BRK-B,15213000000,17022000000,15706000000,2874000000,12702000000,2989000000.0,-1316000000.0
